loaded manhattan3500_g2o.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 1320.555432	 time= 0.0129981	 cumTime= 0.0129981	 edges= 5598	 schur= 0
iteration= 1	 chi2= 182.845640	 time= 0.00888672	 cumTime= 0.0218848	 edges= 5598	 schur= 0
iteration= 2	 chi2= 146.388130	 time= 0.00803859	 cumTime= 0.0299234	 edges= 5598	 schur= 0
iteration= 3	 chi2= 146.076630	 time= 0.00812113	 cumTime= 0.0380445	 edges= 5598	 schur= 0
iteration= 4	 chi2= 146.076613	 time= 0.00799453	 cumTime= 0.046039	 edges= 5598	 schur= 0
iteration= 5	 chi2= 146.076613	 time= 0.00803189	 cumTime= 0.0540709	 edges= 5598	 schur= 0
iteration= 6	 chi2= 146.076613	 time= 0.00786861	 cumTime= 0.0619395	 edges= 5598	 schur= 0
iteration= 7	 chi2= 146.076613	 time= 0.00796627	 cumTime= 0.0699058	 edges= 5598	 schur= 0
iteration= 8	 chi2= 146.076613	 time= 0.00783183	 cumTime= 0.0777376	 edges= 5598	 schur= 0
iteration= 9	 chi2= 146.076613	 time= 0.00841313	 cumTime= 0.0861508	 edges= 5598	 schur= 0
iteration= 10	 chi2= 146.076613	 time= 0.00883054	 cumTime= 0.0949813	 edges= 5598	 schur= 0
iteration= 11	 chi2= 146.076613	 time= 0.00930456	 cumTime= 0.104286	 edges= 5598	 schur= 0
iteration= 12	 chi2= 146.076613	 time= 0.00784119	 cumTime= 0.112127	 edges= 5598	 schur= 0
iteration= 13	 chi2= 146.076613	 time= 0.00795536	 cumTime= 0.120082	 edges= 5598	 schur= 0
iteration= 14	 chi2= 146.076613	 time= 0.00793423	 cumTime= 0.128017	 edges= 5598	 schur= 0
iteration= 15	 chi2= 146.076613	 time= 0.00794731	 cumTime= 0.135964	 edges= 5598	 schur= 0
iteration= 16	 chi2= 146.076613	 time= 0.00817103	 cumTime= 0.144135	 edges= 5598	 schur= 0
iteration= 17	 chi2= 146.076613	 time= 0.00874185	 cumTime= 0.152877	 edges= 5598	 schur= 0
iteration= 18	 chi2= 146.076613	 time= 0.00790359	 cumTime= 0.16078	 edges= 5598	 schur= 0
iteration= 19	 chi2= 146.076613	 time= 0.00845656	 cumTime= 0.169237	 edges= 5598	 schur= 0
iteration= 20	 chi2= 146.076613	 time= 0.00818644	 cumTime= 0.177423	 edges= 5598	 schur= 0
iteration= 21	 chi2= 146.076613	 time= 0.00783345	 cumTime= 0.185257	 edges= 5598	 schur= 0
iteration= 22	 chi2= 146.076613	 time= 0.00802286	 cumTime= 0.19328	 edges= 5598	 schur= 0
iteration= 23	 chi2= 146.076613	 time= 0.00835982	 cumTime= 0.20164	 edges= 5598	 schur= 0
iteration= 24	 chi2= 146.076613	 time= 0.00833234	 cumTime= 0.209972	 edges= 5598	 schur= 0
iteration= 25	 chi2= 146.076613	 time= 0.0084121	 cumTime= 0.218384	 edges= 5598	 schur= 0
iteration= 26	 chi2= 146.076613	 time= 0.00805089	 cumTime= 0.226435	 edges= 5598	 schur= 0
iteration= 27	 chi2= 146.076613	 time= 0.00914064	 cumTime= 0.235576	 edges= 5598	 schur= 0
iteration= 28	 chi2= 146.076613	 time= 0.00865399	 cumTime= 0.24423	 edges= 5598	 schur= 0
iteration= 29	 chi2= 146.076613	 time= 0.00785557	 cumTime= 0.252085	 edges= 5598	 schur= 0
iteration= 30	 chi2= 146.076613	 time= 0.00790413	 cumTime= 0.259989	 edges= 5598	 schur= 0
iteration= 31	 chi2= 146.076613	 time= 0.00773195	 cumTime= 0.267721	 edges= 5598	 schur= 0
iteration= 32	 chi2= 146.076613	 time= 0.0078818	 cumTime= 0.275603	 edges= 5598	 schur= 0
iteration= 33	 chi2= 146.076613	 time= 0.00836398	 cumTime= 0.283967	 edges= 5598	 schur= 0
iteration= 34	 chi2= 146.076613	 time= 0.00818191	 cumTime= 0.292149	 edges= 5598	 schur= 0
iteration= 35	 chi2= 146.076613	 time= 0.00815042	 cumTime= 0.300299	 edges= 5598	 schur= 0
iteration= 36	 chi2= 146.076613	 time= 0.00819288	 cumTime= 0.308492	 edges= 5598	 schur= 0
iteration= 37	 chi2= 146.076613	 time= 0.00894847	 cumTime= 0.317441	 edges= 5598	 schur= 0
iteration= 38	 chi2= 146.076613	 time= 0.00847339	 cumTime= 0.325914	 edges= 5598	 schur= 0
iteration= 39	 chi2= 146.076613	 time= 0.00902461	 cumTime= 0.334939	 edges= 5598	 schur= 0
iteration= 40	 chi2= 146.076613	 time= 0.00779672	 cumTime= 0.342735	 edges= 5598	 schur= 0
iteration= 41	 chi2= 146.076613	 time= 0.00825165	 cumTime= 0.350987	 edges= 5598	 schur= 0
iteration= 42	 chi2= 146.076613	 time= 0.00795665	 cumTime= 0.358944	 edges= 5598	 schur= 0
iteration= 43	 chi2= 146.076613	 time= 0.00794553	 cumTime= 0.366889	 edges= 5598	 schur= 0
iteration= 44	 chi2= 146.076613	 time= 0.00796328	 cumTime= 0.374852	 edges= 5598	 schur= 0
iteration= 45	 chi2= 146.076613	 time= 0.00793455	 cumTime= 0.382787	 edges= 5598	 schur= 0
iteration= 46	 chi2= 146.076613	 time= 0.00816884	 cumTime= 0.390956	 edges= 5598	 schur= 0
iteration= 47	 chi2= 146.076613	 time= 0.00819794	 cumTime= 0.399154	 edges= 5598	 schur= 0
iteration= 48	 chi2= 146.076613	 time= 0.00804234	 cumTime= 0.407196	 edges= 5598	 schur= 0
iteration= 49	 chi2= 146.076613	 time= 0.00786114	 cumTime= 0.415057	 edges= 5598	 schur= 0
iteration= 50	 chi2= 146.076613	 time= 0.00882197	 cumTime= 0.423879	 edges= 5598	 schur= 0
iteration= 51	 chi2= 146.076613	 time= 0.00805285	 cumTime= 0.431932	 edges= 5598	 schur= 0
iteration= 52	 chi2= 146.076613	 time= 0.00853156	 cumTime= 0.440464	 edges= 5598	 schur= 0
iteration= 53	 chi2= 146.076613	 time= 0.00828967	 cumTime= 0.448753	 edges= 5598	 schur= 0
iteration= 54	 chi2= 146.076613	 time= 0.007941	 cumTime= 0.456694	 edges= 5598	 schur= 0
iteration= 55	 chi2= 146.076613	 time= 0.00806149	 cumTime= 0.464756	 edges= 5598	 schur= 0
iteration= 56	 chi2= 146.076613	 time= 0.00780692	 cumTime= 0.472563	 edges= 5598	 schur= 0
iteration= 57	 chi2= 146.076613	 time= 0.00797781	 cumTime= 0.480541	 edges= 5598	 schur= 0
iteration= 58	 chi2= 146.076613	 time= 0.00798454	 cumTime= 0.488525	 edges= 5598	 schur= 0
iteration= 59	 chi2= 146.076613	 time= 0.00780851	 cumTime= 0.496334	 edges= 5598	 schur= 0
iteration= 60	 chi2= 146.076613	 time= 0.00782751	 cumTime= 0.504161	 edges= 5598	 schur= 0
iteration= 61	 chi2= 146.076613	 time= 0.00925234	 cumTime= 0.513413	 edges= 5598	 schur= 0
iteration= 62	 chi2= 146.076613	 time= 0.00940124	 cumTime= 0.522815	 edges= 5598	 schur= 0
iteration= 63	 chi2= 146.076613	 time= 0.00836861	 cumTime= 0.531183	 edges= 5598	 schur= 0
iteration= 64	 chi2= 146.076613	 time= 0.00876075	 cumTime= 0.539944	 edges= 5598	 schur= 0
iteration= 65	 chi2= 146.076613	 time= 0.00788921	 cumTime= 0.547833	 edges= 5598	 schur= 0
iteration= 66	 chi2= 146.076613	 time= 0.00801852	 cumTime= 0.555852	 edges= 5598	 schur= 0
iteration= 67	 chi2= 146.076613	 time= 0.00796648	 cumTime= 0.563818	 edges= 5598	 schur= 0
iteration= 68	 chi2= 146.076613	 time= 0.00803946	 cumTime= 0.571858	 edges= 5598	 schur= 0
iteration= 69	 chi2= 146.076613	 time= 0.00768305	 cumTime= 0.579541	 edges= 5598	 schur= 0
iteration= 70	 chi2= 146.076613	 time= 0.00782184	 cumTime= 0.587363	 edges= 5598	 schur= 0
iteration= 71	 chi2= 146.076613	 time= 0.00778646	 cumTime= 0.595149	 edges= 5598	 schur= 0
iteration= 72	 chi2= 146.076613	 time= 0.00858621	 cumTime= 0.603735	 edges= 5598	 schur= 0
iteration= 73	 chi2= 146.076613	 time= 0.00943444	 cumTime= 0.61317	 edges= 5598	 schur= 0
iteration= 74	 chi2= 146.076613	 time= 0.00924468	 cumTime= 0.622414	 edges= 5598	 schur= 0
iteration= 75	 chi2= 146.076613	 time= 0.0087845	 cumTime= 0.631199	 edges= 5598	 schur= 0
iteration= 76	 chi2= 146.076613	 time= 0.00783749	 cumTime= 0.639036	 edges= 5598	 schur= 0
iteration= 77	 chi2= 146.076613	 time= 0.00904815	 cumTime= 0.648085	 edges= 5598	 schur= 0
iteration= 78	 chi2= 146.076613	 time= 0.00806705	 cumTime= 0.656152	 edges= 5598	 schur= 0
iteration= 79	 chi2= 146.076613	 time= 0.00879549	 cumTime= 0.664947	 edges= 5598	 schur= 0
iteration= 80	 chi2= 146.076613	 time= 0.00820159	 cumTime= 0.673149	 edges= 5598	 schur= 0
iteration= 81	 chi2= 146.076613	 time= 0.00856565	 cumTime= 0.681714	 edges= 5598	 schur= 0
iteration= 82	 chi2= 146.076613	 time= 0.00793023	 cumTime= 0.689645	 edges= 5598	 schur= 0
iteration= 83	 chi2= 146.076613	 time= 0.00799206	 cumTime= 0.697637	 edges= 5598	 schur= 0
iteration= 84	 chi2= 146.076613	 time= 0.00913821	 cumTime= 0.706775	 edges= 5598	 schur= 0
iteration= 85	 chi2= 146.076613	 time= 0.00882969	 cumTime= 0.715604	 edges= 5598	 schur= 0
iteration= 86	 chi2= 146.076613	 time= 0.00788291	 cumTime= 0.723487	 edges= 5598	 schur= 0
iteration= 87	 chi2= 146.076613	 time= 0.00786348	 cumTime= 0.731351	 edges= 5598	 schur= 0
iteration= 88	 chi2= 146.076613	 time= 0.00821416	 cumTime= 0.739565	 edges= 5598	 schur= 0
iteration= 89	 chi2= 146.076613	 time= 0.00796891	 cumTime= 0.747534	 edges= 5598	 schur= 0
iteration= 90	 chi2= 146.076613	 time= 0.00830052	 cumTime= 0.755834	 edges= 5598	 schur= 0
iteration= 91	 chi2= 146.076613	 time= 0.00797823	 cumTime= 0.763813	 edges= 5598	 schur= 0
iteration= 92	 chi2= 146.076613	 time= 0.00828749	 cumTime= 0.7721	 edges= 5598	 schur= 0
iteration= 93	 chi2= 146.076613	 time= 0.00830618	 cumTime= 0.780406	 edges= 5598	 schur= 0
iteration= 94	 chi2= 146.076613	 time= 0.00796829	 cumTime= 0.788375	 edges= 5598	 schur= 0
iteration= 95	 chi2= 146.076613	 time= 0.00816814	 cumTime= 0.796543	 edges= 5598	 schur= 0
iteration= 96	 chi2= 146.076613	 time= 0.00789517	 cumTime= 0.804438	 edges= 5598	 schur= 0
iteration= 97	 chi2= 146.076613	 time= 0.00822395	 cumTime= 0.812662	 edges= 5598	 schur= 0
iteration= 98	 chi2= 146.076613	 time= 0.00804959	 cumTime= 0.820712	 edges= 5598	 schur= 0
iteration= 99	 chi2= 146.076613	 time= 0.00923482	 cumTime= 0.829946	 edges= 5598	 schur= 0
