loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 63153.997029	 time= 0.0132541	 cumTime= 0.0132541	 edges= 5598	 schur= 0
iteration= 1	 chi2= 10625.103848	 time= 0.00789725	 cumTime= 0.0211514	 edges= 5598	 schur= 0
iteration= 2	 chi2= 222.603883	 time= 0.00790615	 cumTime= 0.0290575	 edges= 5598	 schur= 0
iteration= 3	 chi2= 146.109772	 time= 0.0079444	 cumTime= 0.0370019	 edges= 5598	 schur= 0
iteration= 4	 chi2= 146.076747	 time= 0.00793547	 cumTime= 0.0449374	 edges= 5598	 schur= 0
iteration= 5	 chi2= 146.076745	 time= 0.00846966	 cumTime= 0.0534071	 edges= 5598	 schur= 0
iteration= 6	 chi2= 146.076745	 time= 0.00790648	 cumTime= 0.0613135	 edges= 5598	 schur= 0
iteration= 7	 chi2= 146.076745	 time= 0.00798277	 cumTime= 0.0692963	 edges= 5598	 schur= 0
iteration= 8	 chi2= 146.076745	 time= 0.00848555	 cumTime= 0.0777819	 edges= 5598	 schur= 0
iteration= 9	 chi2= 146.076745	 time= 0.0109545	 cumTime= 0.0887363	 edges= 5598	 schur= 0
iteration= 10	 chi2= 146.076745	 time= 0.0104949	 cumTime= 0.0992313	 edges= 5598	 schur= 0
iteration= 11	 chi2= 146.076745	 time= 0.010203	 cumTime= 0.109434	 edges= 5598	 schur= 0
iteration= 12	 chi2= 146.076745	 time= 0.0086738	 cumTime= 0.118108	 edges= 5598	 schur= 0
iteration= 13	 chi2= 146.076745	 time= 0.0078774	 cumTime= 0.125985	 edges= 5598	 schur= 0
iteration= 14	 chi2= 146.076745	 time= 0.00810618	 cumTime= 0.134092	 edges= 5598	 schur= 0
iteration= 15	 chi2= 146.076745	 time= 0.00813974	 cumTime= 0.142231	 edges= 5598	 schur= 0
iteration= 16	 chi2= 146.076745	 time= 0.00829813	 cumTime= 0.15053	 edges= 5598	 schur= 0
iteration= 17	 chi2= 146.076745	 time= 0.00813313	 cumTime= 0.158663	 edges= 5598	 schur= 0
iteration= 18	 chi2= 146.076745	 time= 0.00787954	 cumTime= 0.166542	 edges= 5598	 schur= 0
iteration= 19	 chi2= 146.076745	 time= 0.00834304	 cumTime= 0.174885	 edges= 5598	 schur= 0
iteration= 20	 chi2= 146.076745	 time= 0.00816369	 cumTime= 0.183049	 edges= 5598	 schur= 0
iteration= 21	 chi2= 146.076745	 time= 0.00796632	 cumTime= 0.191015	 edges= 5598	 schur= 0
iteration= 22	 chi2= 146.076745	 time= 0.00858381	 cumTime= 0.199599	 edges= 5598	 schur= 0
iteration= 23	 chi2= 146.076745	 time= 0.00795625	 cumTime= 0.207555	 edges= 5598	 schur= 0
iteration= 24	 chi2= 146.076745	 time= 0.00786125	 cumTime= 0.215417	 edges= 5598	 schur= 0
iteration= 25	 chi2= 146.076745	 time= 0.00816017	 cumTime= 0.223577	 edges= 5598	 schur= 0
iteration= 26	 chi2= 146.076745	 time= 0.00907338	 cumTime= 0.23265	 edges= 5598	 schur= 0
iteration= 27	 chi2= 146.076745	 time= 0.00817812	 cumTime= 0.240828	 edges= 5598	 schur= 0
iteration= 28	 chi2= 146.076745	 time= 0.00829935	 cumTime= 0.249128	 edges= 5598	 schur= 0
iteration= 29	 chi2= 146.076745	 time= 0.00794903	 cumTime= 0.257077	 edges= 5598	 schur= 0
iteration= 30	 chi2= 146.076745	 time= 0.00839083	 cumTime= 0.265467	 edges= 5598	 schur= 0
iteration= 31	 chi2= 146.076745	 time= 0.00806466	 cumTime= 0.273532	 edges= 5598	 schur= 0
iteration= 32	 chi2= 146.076745	 time= 0.00904207	 cumTime= 0.282574	 edges= 5598	 schur= 0
iteration= 33	 chi2= 146.076745	 time= 0.00912213	 cumTime= 0.291696	 edges= 5598	 schur= 0
iteration= 34	 chi2= 146.076745	 time= 0.00785816	 cumTime= 0.299554	 edges= 5598	 schur= 0
iteration= 35	 chi2= 146.076745	 time= 0.00803333	 cumTime= 0.307588	 edges= 5598	 schur= 0
iteration= 36	 chi2= 146.076745	 time= 0.00852383	 cumTime= 0.316112	 edges= 5598	 schur= 0
iteration= 37	 chi2= 146.076745	 time= 0.00802868	 cumTime= 0.32414	 edges= 5598	 schur= 0
iteration= 38	 chi2= 146.076745	 time= 0.00926757	 cumTime= 0.333408	 edges= 5598	 schur= 0
iteration= 39	 chi2= 146.076745	 time= 0.0105522	 cumTime= 0.34396	 edges= 5598	 schur= 0
