loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 10776.179623	 time= 0.01432	 cumTime= 0.01432	 edges= 5598	 schur= 0	 lambda= 0.005600	 levenbergIter= 1
iteration= 1	 chi2= 2326.483310	 time= 0.0100153	 cumTime= 0.0243353	 edges= 5598	 schur= 0	 lambda= 0.001867	 levenbergIter= 1
iteration= 2	 chi2= 919.657030	 time= 0.0104175	 cumTime= 0.0347527	 edges= 5598	 schur= 0	 lambda= 0.000622	 levenbergIter= 1
iteration= 3	 chi2= 859.394503	 time= 0.00908439	 cumTime= 0.0438371	 edges= 5598	 schur= 0	 lambda= 0.000415	 levenbergIter= 1
iteration= 4	 chi2= 715.820414	 time= 0.0367012	 cumTime= 0.0805384	 edges= 5598	 schur= 0	 lambda= 0.017698	 levenbergIter= 4
iteration= 5	 chi2= 584.767971	 time= 0.02621	 cumTime= 0.106748	 edges= 5598	 schur= 0	 lambda= 0.094390	 levenbergIter= 3
iteration= 6	 chi2= 535.782444	 time= 0.0165288	 cumTime= 0.123277	 edges= 5598	 schur= 0	 lambda= 0.125853	 levenbergIter= 2
iteration= 7	 chi2= 497.768269	 time= 0.00933476	 cumTime= 0.132612	 edges= 5598	 schur= 0	 lambda= 0.083902	 levenbergIter= 1
iteration= 8	 chi2= 471.949549	 time= 0.0165057	 cumTime= 0.149118	 edges= 5598	 schur= 0	 lambda= 0.111869	 levenbergIter= 2
iteration= 9	 chi2= 462.699853	 time= 0.00906022	 cumTime= 0.158178	 edges= 5598	 schur= 0	 lambda= 0.074580	 levenbergIter= 1
iteration= 10	 chi2= 410.261631	 time= 0.0232891	 cumTime= 0.181467	 edges= 5598	 schur= 0	 lambda= 0.397758	 levenbergIter= 3
iteration= 11	 chi2= 401.342530	 time= 0.0184088	 cumTime= 0.199876	 edges= 5598	 schur= 0	 lambda= 0.530344	 levenbergIter= 2
iteration= 12	 chi2= 400.994401	 time= 0.0123603	 cumTime= 0.212236	 edges= 5598	 schur= 0	 lambda= 0.353562	 levenbergIter= 1
iteration= 13	 chi2= 398.620712	 time= 0.0175344	 cumTime= 0.229771	 edges= 5598	 schur= 0	 lambda= 0.471417	 levenbergIter= 2
iteration= 14	 chi2= 395.463345	 time= 0.0173523	 cumTime= 0.247123	 edges= 5598	 schur= 0	 lambda= 0.628555	 levenbergIter= 2
iteration= 15	 chi2= 395.068224	 time= 0.00891074	 cumTime= 0.256034	 edges= 5598	 schur= 0	 lambda= 0.419037	 levenbergIter= 1
iteration= 16	 chi2= 393.686865	 time= 0.0161477	 cumTime= 0.272181	 edges= 5598	 schur= 0	 lambda= 0.558716	 levenbergIter= 2
iteration= 17	 chi2= 391.837875	 time= 0.0169538	 cumTime= 0.289135	 edges= 5598	 schur= 0	 lambda= 0.744955	 levenbergIter= 2
