loaded manhattan3500_1.5.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 26.220029	 time= 0.0186579	 cumTime= 0.0186579	 edges= 5598	 Delta= 1250	 step= Dogleg	 tries= 3
iteration= 1	 chi2= 11.855348	 time= 0.0110951	 cumTime= 0.029753	 edges= 5598	 Delta= 3750	 step= Dogleg	 tries= 1
iteration= 2	 chi2= 7.907561	 time= 0.0119544	 cumTime= 0.0417074	 edges= 5598	 Delta= 1875	 step= Dogleg	 tries= 2
iteration= 3	 chi2= 4.303843	 time= 0.0106342	 cumTime= 0.0523416	 edges= 5598	 Delta= 1875	 step= Dogleg	 tries= 1
iteration= 4	 chi2= 2.742899	 time= 0.012264	 cumTime= 0.0646056	 edges= 5598	 Delta= 937.5	 step= Dogleg	 tries= 2
iteration= 5	 chi2= 1.594662	 time= 0.010553	 cumTime= 0.0751586	 edges= 5598	 Delta= 937.5	 step= Dogleg	 tries= 1
iteration= 6	 chi2= 0.932388	 time= 0.0106343	 cumTime= 0.0857929	 edges= 5598	 Delta= 937.5	 step= Dogleg	 tries= 1
iteration= 7	 chi2= 0.176949	 time= 0.0102401	 cumTime= 0.096033	 edges= 5598	 Delta= 2812.5	 step= Dogleg	 tries= 1
iteration= 8	 chi2= 0.062212	 time= 0.0102876	 cumTime= 0.106321	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 9	 chi2= 0.052857	 time= 0.0106329	 cumTime= 0.116954	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 10	 chi2= 0.052730	 time= 0.0104084	 cumTime= 0.127362	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 11	 chi2= 0.052716	 time= 0.0104742	 cumTime= 0.137836	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 12	 chi2= 0.052712	 time= 0.0103999	 cumTime= 0.148236	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 13	 chi2= 0.052711	 time= 0.0101303	 cumTime= 0.158366	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 14	 chi2= 0.052711	 time= 0.0102275	 cumTime= 0.168594	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 15	 chi2= 0.052710	 time= 0.0102331	 cumTime= 0.178827	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
iteration= 16	 chi2= 0.052710	 time= 0.010975	 cumTime= 0.189802	 edges= 5598	 Delta= 2812.5	 step= GN	 tries= 1
