loaded manhattan3500_2.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 43.425529	 time= 0.018182	 cumTime= 0.018182	 edges= 5598	 Delta= 1250	 step= Dogleg	 tries= 3
iteration= 1	 chi2= 21.596665	 time= 0.0103323	 cumTime= 0.0285142	 edges= 5598	 Delta= 3750	 step= Dogleg	 tries= 1
iteration= 2	 chi2= 18.471451	 time= 0.0104572	 cumTime= 0.0389714	 edges= 5598	 Delta= 1875	 step= Dogleg	 tries= 1
iteration= 3	 chi2= 7.591095	 time= 0.0104254	 cumTime= 0.0493967	 edges= 5598	 Delta= 5625	 step= Dogleg	 tries= 1
iteration= 4	 chi2= 3.652083	 time= 0.0133052	 cumTime= 0.062702	 edges= 5598	 Delta= 1406.25	 step= Dogleg	 tries= 3
iteration= 5	 chi2= 2.244564	 time= 0.010671	 cumTime= 0.073373	 edges= 5598	 Delta= 1406.25	 step= Dogleg	 tries= 1
iteration= 6	 chi2= 1.504950	 time= 0.0101815	 cumTime= 0.0835544	 edges= 5598	 Delta= 1406.25	 step= Dogleg	 tries= 1
iteration= 7	 chi2= 1.210344	 time= 0.0105096	 cumTime= 0.094064	 edges= 5598	 Delta= 1406.25	 step= GN	 tries= 1
iteration= 8	 chi2= 0.880207	 time= 0.0105329	 cumTime= 0.104597	 edges= 5598	 Delta= 1406.25	 step= GN	 tries= 1
iteration= 9	 chi2= 0.853955	 time= 0.0101267	 cumTime= 0.114724	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 10	 chi2= 0.724776	 time= 0.0103096	 cumTime= 0.125033	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 11	 chi2= 0.552702	 time= 0.010581	 cumTime= 0.135614	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 12	 chi2= 0.519717	 time= 0.0100685	 cumTime= 0.145683	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 13	 chi2= 0.516408	 time= 0.0103115	 cumTime= 0.155994	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 14	 chi2= 0.515562	 time= 0.0108037	 cumTime= 0.166798	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 15	 chi2= 0.515386	 time= 0.0101281	 cumTime= 0.176926	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 16	 chi2= 0.515324	 time= 0.0101819	 cumTime= 0.187108	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 17	 chi2= 0.515253	 time= 0.0105463	 cumTime= 0.197654	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 18	 chi2= 0.515200	 time= 0.0102389	 cumTime= 0.207893	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 19	 chi2= 0.515157	 time= 0.0105009	 cumTime= 0.218394	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 20	 chi2= 0.515130	 time= 0.0110194	 cumTime= 0.229413	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 21	 chi2= 0.515109	 time= 0.0104741	 cumTime= 0.239888	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 22	 chi2= 0.515095	 time= 0.0105549	 cumTime= 0.250442	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 23	 chi2= 0.515083	 time= 0.0109121	 cumTime= 0.261355	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 24	 chi2= 0.515074	 time= 0.0105073	 cumTime= 0.271862	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 25	 chi2= 0.515066	 time= 0.0102326	 cumTime= 0.282094	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 26	 chi2= 0.515059	 time= 0.0107918	 cumTime= 0.292886	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 27	 chi2= 0.515052	 time= 0.0102666	 cumTime= 0.303153	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 28	 chi2= 0.515046	 time= 0.0104075	 cumTime= 0.31356	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 29	 chi2= 0.515039	 time= 0.0110891	 cumTime= 0.324649	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 30	 chi2= 0.515031	 time= 0.0102614	 cumTime= 0.334911	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 31	 chi2= 0.515023	 time= 0.0103134	 cumTime= 0.345224	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 32	 chi2= 0.515013	 time= 0.0107717	 cumTime= 0.355996	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 33	 chi2= 0.515000	 time= 0.0100342	 cumTime= 0.36603	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 34	 chi2= 0.514983	 time= 0.0104366	 cumTime= 0.376467	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 35	 chi2= 0.514957	 time= 0.0110803	 cumTime= 0.387547	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 36	 chi2= 0.514916	 time= 0.0107559	 cumTime= 0.398303	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 37	 chi2= 0.514849	 time= 0.0108361	 cumTime= 0.409139	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 38	 chi2= 0.514783	 time= 0.0106814	 cumTime= 0.41982	 edges= 5598	 Delta= 703.125	 step= GN	 tries= 1
iteration= 39	 chi2= 0.514471	 time= 0.017514	 cumTime= 0.437334	 edges= 5598	 Delta= 65.918	 step= Dogleg	 tries= 6
iteration= 40	 chi2= 0.514117	 time= 0.0129199	 cumTime= 0.450254	 edges= 5598	 Delta= 16.4795	 step= Dogleg	 tries= 3
iteration= 41	 chi2= 0.513516	 time= 0.0104716	 cumTime= 0.460726	 edges= 5598	 Delta= 39.7411	 step= GN	 tries= 1
iteration= 42	 chi2= 0.513184	 time= 0.0108738	 cumTime= 0.4716	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 43	 chi2= 0.513167	 time= 0.010414	 cumTime= 0.482014	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 44	 chi2= 0.513166	 time= 0.0105161	 cumTime= 0.49253	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 45	 chi2= 0.513165	 time= 0.0105003	 cumTime= 0.50303	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 46	 chi2= 0.513165	 time= 0.0103066	 cumTime= 0.513337	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 47	 chi2= 0.513165	 time= 0.0103583	 cumTime= 0.523695	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 48	 chi2= 0.513165	 time= 0.0103008	 cumTime= 0.533996	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 49	 chi2= 0.513165	 time= 0.0102465	 cumTime= 0.544242	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 50	 chi2= 0.513165	 time= 0.0100671	 cumTime= 0.554309	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 51	 chi2= 0.513165	 time= 0.0101758	 cumTime= 0.564485	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 52	 chi2= 0.513165	 time= 0.0105004	 cumTime= 0.574986	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 53	 chi2= 0.513165	 time= 0.0100789	 cumTime= 0.585065	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 54	 chi2= 0.513165	 time= 0.0101775	 cumTime= 0.595242	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 55	 chi2= 0.513165	 time= 0.0103478	 cumTime= 0.60559	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 56	 chi2= 0.513165	 time= 0.0101435	 cumTime= 0.615733	 edges= 5598	 Delta= 41.8817	 step= GN	 tries= 1
iteration= 57	 chi2= 0.513165	 time= 0.0101476	 cumTime= 0.625881	 edges= 5598	 Delta= 20.9408	 step= GN	 tries= 1
iteration= 58	 chi2= 0.513165	 time= 0.0102889	 cumTime= 0.63617	 edges= 5598	 Delta= 10.4704	 step= GN	 tries= 1
iteration= 59	 chi2= 0.513165	 time= 0.0100753	 cumTime= 0.646245	 edges= 5598	 Delta= 5.23521	 step= GN	 tries= 1
iteration= 60	 chi2= 0.513165	 time= 0.010205	 cumTime= 0.65645	 edges= 5598	 Delta= 2.61761	 step= GN	 tries= 1
iteration= 61	 chi2= 0.513165	 time= 0.0104338	 cumTime= 0.666884	 edges= 5598	 Delta= 1.3088	 step= GN	 tries= 1
