loaded manhattan3500_1.5.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 556.573053	 time= 0.0120442	 cumTime= 0.0120442	 edges= 5598	 schur= 0
iteration= 1	 chi2= 124.011232	 time= 0.00802315	 cumTime= 0.0200674	 edges= 5598	 schur= 0
iteration= 2	 chi2= 151.548283	 time= 0.00795309	 cumTime= 0.0280204	 edges= 5598	 schur= 0
iteration= 3	 chi2= 170.020659	 time= 0.00800575	 cumTime= 0.0360262	 edges= 5598	 schur= 0
iteration= 4	 chi2= 38.508179	 time= 0.00855164	 cumTime= 0.0445778	 edges= 5598	 schur= 0
iteration= 5	 chi2= 12.896115	 time= 0.00817939	 cumTime= 0.0527572	 edges= 5598	 schur= 0
iteration= 6	 chi2= 2.143006	 time= 0.00797363	 cumTime= 0.0607309	 edges= 5598	 schur= 0
iteration= 7	 chi2= 0.170112	 time= 0.0084183	 cumTime= 0.0691492	 edges= 5598	 schur= 0
iteration= 8	 chi2= 0.091045	 time= 0.00855249	 cumTime= 0.0777017	 edges= 5598	 schur= 0
iteration= 9	 chi2= 0.089594	 time= 0.00871125	 cumTime= 0.0864129	 edges= 5598	 schur= 0
iteration= 10	 chi2= 0.089468	 time= 0.00842294	 cumTime= 0.0948358	 edges= 5598	 schur= 0
iteration= 11	 chi2= 0.089406	 time= 0.00787061	 cumTime= 0.102706	 edges= 5598	 schur= 0
iteration= 12	 chi2= 0.089375	 time= 0.0078896	 cumTime= 0.110596	 edges= 5598	 schur= 0
iteration= 13	 chi2= 0.089358	 time= 0.00791546	 cumTime= 0.118512	 edges= 5598	 schur= 0
iteration= 14	 chi2= 0.089350	 time= 0.00795264	 cumTime= 0.126464	 edges= 5598	 schur= 0
iteration= 15	 chi2= 0.089345	 time= 0.007964	 cumTime= 0.134428	 edges= 5598	 schur= 0
iteration= 16	 chi2= 0.089343	 time= 0.00830924	 cumTime= 0.142737	 edges= 5598	 schur= 0
iteration= 17	 chi2= 0.089342	 time= 0.00904735	 cumTime= 0.151785	 edges= 5598	 schur= 0
iteration= 18	 chi2= 0.089341	 time= 0.00844287	 cumTime= 0.160228	 edges= 5598	 schur= 0
iteration= 19	 chi2= 0.089341	 time= 0.00860415	 cumTime= 0.168832	 edges= 5598	 schur= 0
iteration= 20	 chi2= 0.089341	 time= 0.00874847	 cumTime= 0.17758	 edges= 5598	 schur= 0
iteration= 21	 chi2= 0.089341	 time= 0.00813419	 cumTime= 0.185714	 edges= 5598	 schur= 0
iteration= 22	 chi2= 0.089341	 time= 0.00822914	 cumTime= 0.193944	 edges= 5598	 schur= 0
iteration= 23	 chi2= 0.089341	 time= 0.00808389	 cumTime= 0.202027	 edges= 5598	 schur= 0
iteration= 24	 chi2= 0.089341	 time= 0.00817996	 cumTime= 0.210207	 edges= 5598	 schur= 0
iteration= 25	 chi2= 0.089341	 time= 0.0080918	 cumTime= 0.218299	 edges= 5598	 schur= 0
iteration= 26	 chi2= 0.089341	 time= 0.00827801	 cumTime= 0.226577	 edges= 5598	 schur= 0
iteration= 27	 chi2= 0.089341	 time= 0.00819611	 cumTime= 0.234773	 edges= 5598	 schur= 0
iteration= 28	 chi2= 0.089341	 time= 0.00811508	 cumTime= 0.242888	 edges= 5598	 schur= 0
iteration= 29	 chi2= 0.089341	 time= 0.00822888	 cumTime= 0.251117	 edges= 5598	 schur= 0
iteration= 30	 chi2= 0.089341	 time= 0.00806558	 cumTime= 0.259183	 edges= 5598	 schur= 0
iteration= 31	 chi2= 0.089341	 time= 0.00834164	 cumTime= 0.267525	 edges= 5598	 schur= 0
iteration= 32	 chi2= 0.089341	 time= 0.00857246	 cumTime= 0.276097	 edges= 5598	 schur= 0
iteration= 33	 chi2= 0.089341	 time= 0.00837637	 cumTime= 0.284473	 edges= 5598	 schur= 0
iteration= 34	 chi2= 0.089341	 time= 0.00814533	 cumTime= 0.292619	 edges= 5598	 schur= 0
iteration= 35	 chi2= 0.089341	 time= 0.00789201	 cumTime= 0.300511	 edges= 5598	 schur= 0
iteration= 36	 chi2= 0.089341	 time= 0.0079827	 cumTime= 0.308493	 edges= 5598	 schur= 0
iteration= 37	 chi2= 0.089341	 time= 0.0079561	 cumTime= 0.316449	 edges= 5598	 schur= 0
iteration= 38	 chi2= 0.089341	 time= 0.0080026	 cumTime= 0.324452	 edges= 5598	 schur= 0
iteration= 39	 chi2= 0.089341	 time= 0.00794826	 cumTime= 0.3324	 edges= 5598	 schur= 0
iteration= 40	 chi2= 0.089341	 time= 0.00778194	 cumTime= 0.340182	 edges= 5598	 schur= 0
iteration= 41	 chi2= 0.089341	 time= 0.00798874	 cumTime= 0.348171	 edges= 5598	 schur= 0
iteration= 42	 chi2= 0.089341	 time= 0.00797713	 cumTime= 0.356148	 edges= 5598	 schur= 0
iteration= 43	 chi2= 0.089341	 time= 0.00811376	 cumTime= 0.364262	 edges= 5598	 schur= 0
iteration= 44	 chi2= 0.089341	 time= 0.00785965	 cumTime= 0.372122	 edges= 5598	 schur= 0
iteration= 45	 chi2= 0.089341	 time= 0.00788492	 cumTime= 0.380006	 edges= 5598	 schur= 0
iteration= 46	 chi2= 0.089341	 time= 0.007912	 cumTime= 0.387918	 edges= 5598	 schur= 0
iteration= 47	 chi2= 0.089341	 time= 0.00793118	 cumTime= 0.39585	 edges= 5598	 schur= 0
iteration= 48	 chi2= 0.089341	 time= 0.00896554	 cumTime= 0.404815	 edges= 5598	 schur= 0
iteration= 49	 chi2= 0.089341	 time= 0.00794672	 cumTime= 0.412762	 edges= 5598	 schur= 0
iteration= 50	 chi2= 0.089341	 time= 0.00795355	 cumTime= 0.420715	 edges= 5598	 schur= 0
iteration= 51	 chi2= 0.089341	 time= 0.00790616	 cumTime= 0.428622	 edges= 5598	 schur= 0
iteration= 52	 chi2= 0.089341	 time= 0.00813677	 cumTime= 0.436758	 edges= 5598	 schur= 0
iteration= 53	 chi2= 0.089341	 time= 0.0079339	 cumTime= 0.444692	 edges= 5598	 schur= 0
iteration= 54	 chi2= 0.089341	 time= 0.00782925	 cumTime= 0.452522	 edges= 5598	 schur= 0
iteration= 55	 chi2= 0.089341	 time= 0.0077349	 cumTime= 0.460256	 edges= 5598	 schur= 0
iteration= 56	 chi2= 0.089341	 time= 0.00773174	 cumTime= 0.467988	 edges= 5598	 schur= 0
iteration= 57	 chi2= 0.089341	 time= 0.00783578	 cumTime= 0.475824	 edges= 5598	 schur= 0
iteration= 58	 chi2= 0.089341	 time= 0.00772839	 cumTime= 0.483552	 edges= 5598	 schur= 0
iteration= 59	 chi2= 0.089341	 time= 0.00775916	 cumTime= 0.491312	 edges= 5598	 schur= 0
iteration= 60	 chi2= 0.089341	 time= 0.00787865	 cumTime= 0.49919	 edges= 5598	 schur= 0
iteration= 61	 chi2= 0.089341	 time= 0.00790805	 cumTime= 0.507098	 edges= 5598	 schur= 0
iteration= 62	 chi2= 0.089341	 time= 0.00813354	 cumTime= 0.515232	 edges= 5598	 schur= 0
iteration= 63	 chi2= 0.089341	 time= 0.00796269	 cumTime= 0.523194	 edges= 5598	 schur= 0
iteration= 64	 chi2= 0.089341	 time= 0.00814999	 cumTime= 0.531344	 edges= 5598	 schur= 0
iteration= 65	 chi2= 0.089341	 time= 0.00781521	 cumTime= 0.53916	 edges= 5598	 schur= 0
iteration= 66	 chi2= 0.089341	 time= 0.00769823	 cumTime= 0.546858	 edges= 5598	 schur= 0
iteration= 67	 chi2= 0.089341	 time= 0.00775952	 cumTime= 0.554617	 edges= 5598	 schur= 0
iteration= 68	 chi2= 0.089341	 time= 0.00790405	 cumTime= 0.562521	 edges= 5598	 schur= 0
iteration= 69	 chi2= 0.089341	 time= 0.00785921	 cumTime= 0.570381	 edges= 5598	 schur= 0
iteration= 70	 chi2= 0.089341	 time= 0.00784955	 cumTime= 0.57823	 edges= 5598	 schur= 0
iteration= 71	 chi2= 0.089341	 time= 0.0077912	 cumTime= 0.586021	 edges= 5598	 schur= 0
iteration= 72	 chi2= 0.089341	 time= 0.00790672	 cumTime= 0.593928	 edges= 5598	 schur= 0
iteration= 73	 chi2= 0.089341	 time= 0.00802956	 cumTime= 0.601958	 edges= 5598	 schur= 0
iteration= 74	 chi2= 0.089341	 time= 0.00842558	 cumTime= 0.610383	 edges= 5598	 schur= 0
iteration= 75	 chi2= 0.089341	 time= 0.00825969	 cumTime= 0.618643	 edges= 5598	 schur= 0
iteration= 76	 chi2= 0.089341	 time= 0.00777359	 cumTime= 0.626417	 edges= 5598	 schur= 0
iteration= 77	 chi2= 0.089341	 time= 0.00853625	 cumTime= 0.634953	 edges= 5598	 schur= 0
iteration= 78	 chi2= 0.089341	 time= 0.00938734	 cumTime= 0.64434	 edges= 5598	 schur= 0
iteration= 79	 chi2= 0.089341	 time= 0.00826324	 cumTime= 0.652603	 edges= 5598	 schur= 0
iteration= 80	 chi2= 0.089341	 time= 0.00817064	 cumTime= 0.660774	 edges= 5598	 schur= 0
iteration= 81	 chi2= 0.089341	 time= 0.0102388	 cumTime= 0.671013	 edges= 5598	 schur= 0
iteration= 82	 chi2= 0.089341	 time= 0.0078745	 cumTime= 0.678887	 edges= 5598	 schur= 0
iteration= 83	 chi2= 0.089341	 time= 0.00808642	 cumTime= 0.686974	 edges= 5598	 schur= 0
iteration= 84	 chi2= 0.089341	 time= 0.00833495	 cumTime= 0.695309	 edges= 5598	 schur= 0
iteration= 85	 chi2= 0.089341	 time= 0.00825783	 cumTime= 0.703567	 edges= 5598	 schur= 0
iteration= 86	 chi2= 0.089341	 time= 0.00846118	 cumTime= 0.712028	 edges= 5598	 schur= 0
iteration= 87	 chi2= 0.089341	 time= 0.00785692	 cumTime= 0.719885	 edges= 5598	 schur= 0
iteration= 88	 chi2= 0.089341	 time= 0.00790301	 cumTime= 0.727788	 edges= 5598	 schur= 0
iteration= 89	 chi2= 0.089341	 time= 0.00782221	 cumTime= 0.73561	 edges= 5598	 schur= 0
iteration= 90	 chi2= 0.089341	 time= 0.00790444	 cumTime= 0.743514	 edges= 5598	 schur= 0
iteration= 91	 chi2= 0.089341	 time= 0.00785488	 cumTime= 0.751369	 edges= 5598	 schur= 0
iteration= 92	 chi2= 0.089341	 time= 0.00825375	 cumTime= 0.759623	 edges= 5598	 schur= 0
iteration= 93	 chi2= 0.089341	 time= 0.00796393	 cumTime= 0.767587	 edges= 5598	 schur= 0
iteration= 94	 chi2= 0.089341	 time= 0.00820576	 cumTime= 0.775793	 edges= 5598	 schur= 0
iteration= 95	 chi2= 0.089341	 time= 0.0081535	 cumTime= 0.783946	 edges= 5598	 schur= 0
iteration= 96	 chi2= 0.089341	 time= 0.00830875	 cumTime= 0.792255	 edges= 5598	 schur= 0
iteration= 97	 chi2= 0.089341	 time= 0.00778171	 cumTime= 0.800037	 edges= 5598	 schur= 0
iteration= 98	 chi2= 0.089341	 time= 0.00782628	 cumTime= 0.807863	 edges= 5598	 schur= 0
iteration= 99	 chi2= 0.089341	 time= 0.00781936	 cumTime= 0.815682	 edges= 5598	 schur= 0
