loaded manhattan3500_2.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 132.182875	 time= 0.0125255	 cumTime= 0.0125255	 edges= 5598	 schur= 0
iteration= 1	 chi2= 121.819303	 time= 0.00827252	 cumTime= 0.020798	 edges= 5598	 schur= 0
iteration= 2	 chi2= 13.194897	 time= 0.00818798	 cumTime= 0.028986	 edges= 5598	 schur= 0
iteration= 3	 chi2= 12.480423	 time= 0.00814528	 cumTime= 0.0371313	 edges= 5598	 schur= 0
iteration= 4	 chi2= 5.868550	 time= 0.00817329	 cumTime= 0.0453046	 edges= 5598	 schur= 0
iteration= 5	 chi2= 1.816709	 time= 0.00839626	 cumTime= 0.0537008	 edges= 5598	 schur= 0
iteration= 6	 chi2= 1.080787	 time= 0.00817776	 cumTime= 0.0618786	 edges= 5598	 schur= 0
iteration= 7	 chi2= 0.725032	 time= 0.00819584	 cumTime= 0.0700744	 edges= 5598	 schur= 0
iteration= 8	 chi2= 0.582616	 time= 0.00811997	 cumTime= 0.0781944	 edges= 5598	 schur= 0
iteration= 9	 chi2= 0.527451	 time= 0.00819548	 cumTime= 0.0863899	 edges= 5598	 schur= 0
iteration= 10	 chi2= 0.514756	 time= 0.00785031	 cumTime= 0.0942402	 edges= 5598	 schur= 0
iteration= 11	 chi2= 0.511937	 time= 0.00787533	 cumTime= 0.102116	 edges= 5598	 schur= 0
iteration= 12	 chi2= 0.511839	 time= 0.0078835	 cumTime= 0.109999	 edges= 5598	 schur= 0
iteration= 13	 chi2= 0.511817	 time= 0.00804199	 cumTime= 0.118041	 edges= 5598	 schur= 0
iteration= 14	 chi2= 0.511809	 time= 0.00813759	 cumTime= 0.126179	 edges= 5598	 schur= 0
iteration= 15	 chi2= 0.511806	 time= 0.00802679	 cumTime= 0.134205	 edges= 5598	 schur= 0
iteration= 16	 chi2= 0.511805	 time= 0.00791892	 cumTime= 0.142124	 edges= 5598	 schur= 0
iteration= 17	 chi2= 0.511804	 time= 0.00817899	 cumTime= 0.150303	 edges= 5598	 schur= 0
iteration= 18	 chi2= 0.511804	 time= 0.00806165	 cumTime= 0.158365	 edges= 5598	 schur= 0
iteration= 19	 chi2= 0.511804	 time= 0.00793901	 cumTime= 0.166304	 edges= 5598	 schur= 0
iteration= 20	 chi2= 0.511804	 time= 0.00787072	 cumTime= 0.174175	 edges= 5598	 schur= 0
iteration= 21	 chi2= 0.511804	 time= 0.00789754	 cumTime= 0.182072	 edges= 5598	 schur= 0
iteration= 22	 chi2= 0.511804	 time= 0.00828809	 cumTime= 0.19036	 edges= 5598	 schur= 0
iteration= 23	 chi2= 0.511804	 time= 0.00813997	 cumTime= 0.1985	 edges= 5598	 schur= 0
iteration= 24	 chi2= 0.511804	 time= 0.00788824	 cumTime= 0.206389	 edges= 5598	 schur= 0
iteration= 25	 chi2= 0.511804	 time= 0.00790389	 cumTime= 0.214292	 edges= 5598	 schur= 0
iteration= 26	 chi2= 0.511804	 time= 0.00795239	 cumTime= 0.222245	 edges= 5598	 schur= 0
iteration= 27	 chi2= 0.511804	 time= 0.00785475	 cumTime= 0.2301	 edges= 5598	 schur= 0
iteration= 28	 chi2= 0.511804	 time= 0.00780813	 cumTime= 0.237908	 edges= 5598	 schur= 0
iteration= 29	 chi2= 0.511804	 time= 0.00787435	 cumTime= 0.245782	 edges= 5598	 schur= 0
iteration= 30	 chi2= 0.511804	 time= 0.00792151	 cumTime= 0.253704	 edges= 5598	 schur= 0
iteration= 31	 chi2= 0.511804	 time= 0.00787068	 cumTime= 0.261574	 edges= 5598	 schur= 0
iteration= 32	 chi2= 0.511804	 time= 0.00797089	 cumTime= 0.269545	 edges= 5598	 schur= 0
iteration= 33	 chi2= 0.511804	 time= 0.00783217	 cumTime= 0.277377	 edges= 5598	 schur= 0
iteration= 34	 chi2= 0.511804	 time= 0.00793394	 cumTime= 0.285311	 edges= 5598	 schur= 0
iteration= 35	 chi2= 0.511804	 time= 0.00818607	 cumTime= 0.293497	 edges= 5598	 schur= 0
iteration= 36	 chi2= 0.511804	 time= 0.00773373	 cumTime= 0.301231	 edges= 5598	 schur= 0
iteration= 37	 chi2= 0.511804	 time= 0.00800212	 cumTime= 0.309233	 edges= 5598	 schur= 0
iteration= 38	 chi2= 0.511804	 time= 0.00778551	 cumTime= 0.317019	 edges= 5598	 schur= 0
iteration= 39	 chi2= 0.511804	 time= 0.0079248	 cumTime= 0.324943	 edges= 5598	 schur= 0
iteration= 40	 chi2= 0.511804	 time= 0.00792379	 cumTime= 0.332867	 edges= 5598	 schur= 0
iteration= 41	 chi2= 0.511804	 time= 0.0078307	 cumTime= 0.340698	 edges= 5598	 schur= 0
iteration= 42	 chi2= 0.511804	 time= 0.00792847	 cumTime= 0.348626	 edges= 5598	 schur= 0
iteration= 43	 chi2= 0.511804	 time= 0.00839248	 cumTime= 0.357019	 edges= 5598	 schur= 0
iteration= 44	 chi2= 0.511804	 time= 0.00841015	 cumTime= 0.365429	 edges= 5598	 schur= 0
iteration= 45	 chi2= 0.511804	 time= 0.00791948	 cumTime= 0.373349	 edges= 5598	 schur= 0
iteration= 46	 chi2= 0.511804	 time= 0.00785393	 cumTime= 0.381202	 edges= 5598	 schur= 0
iteration= 47	 chi2= 0.511804	 time= 0.00791626	 cumTime= 0.389119	 edges= 5598	 schur= 0
iteration= 48	 chi2= 0.511804	 time= 0.00793565	 cumTime= 0.397054	 edges= 5598	 schur= 0
iteration= 49	 chi2= 0.511804	 time= 0.00778548	 cumTime= 0.40484	 edges= 5598	 schur= 0
iteration= 50	 chi2= 0.511804	 time= 0.00792257	 cumTime= 0.412762	 edges= 5598	 schur= 0
iteration= 51	 chi2= 0.511804	 time= 0.00795684	 cumTime= 0.420719	 edges= 5598	 schur= 0
iteration= 52	 chi2= 0.511804	 time= 0.00795325	 cumTime= 0.428673	 edges= 5598	 schur= 0
iteration= 53	 chi2= 0.511804	 time= 0.00812153	 cumTime= 0.436794	 edges= 5598	 schur= 0
iteration= 54	 chi2= 0.511804	 time= 0.00816962	 cumTime= 0.444964	 edges= 5598	 schur= 0
iteration= 55	 chi2= 0.511804	 time= 0.00821916	 cumTime= 0.453183	 edges= 5598	 schur= 0
iteration= 56	 chi2= 0.511804	 time= 0.00779706	 cumTime= 0.46098	 edges= 5598	 schur= 0
iteration= 57	 chi2= 0.511804	 time= 0.00773564	 cumTime= 0.468716	 edges= 5598	 schur= 0
iteration= 58	 chi2= 0.511804	 time= 0.00781422	 cumTime= 0.47653	 edges= 5598	 schur= 0
iteration= 59	 chi2= 0.511804	 time= 0.00777234	 cumTime= 0.484302	 edges= 5598	 schur= 0
iteration= 60	 chi2= 0.511804	 time= 0.00780297	 cumTime= 0.492105	 edges= 5598	 schur= 0
iteration= 61	 chi2= 0.511804	 time= 0.00770522	 cumTime= 0.49981	 edges= 5598	 schur= 0
iteration= 62	 chi2= 0.511804	 time= 0.00790678	 cumTime= 0.507717	 edges= 5598	 schur= 0
iteration= 63	 chi2= 0.511804	 time= 0.00798732	 cumTime= 0.515704	 edges= 5598	 schur= 0
iteration= 64	 chi2= 0.511804	 time= 0.00792311	 cumTime= 0.523627	 edges= 5598	 schur= 0
iteration= 65	 chi2= 0.511804	 time= 0.00784162	 cumTime= 0.531469	 edges= 5598	 schur= 0
iteration= 66	 chi2= 0.511804	 time= 0.00788345	 cumTime= 0.539353	 edges= 5598	 schur= 0
iteration= 67	 chi2= 0.511804	 time= 0.00781684	 cumTime= 0.547169	 edges= 5598	 schur= 0
iteration= 68	 chi2= 0.511804	 time= 0.00777766	 cumTime= 0.554947	 edges= 5598	 schur= 0
iteration= 69	 chi2= 0.511804	 time= 0.00776591	 cumTime= 0.562713	 edges= 5598	 schur= 0
iteration= 70	 chi2= 0.511804	 time= 0.00778123	 cumTime= 0.570494	 edges= 5598	 schur= 0
iteration= 71	 chi2= 0.511804	 time= 0.00784767	 cumTime= 0.578342	 edges= 5598	 schur= 0
iteration= 72	 chi2= 0.511804	 time= 0.00797439	 cumTime= 0.586316	 edges= 5598	 schur= 0
iteration= 73	 chi2= 0.511804	 time= 0.00816668	 cumTime= 0.594483	 edges= 5598	 schur= 0
iteration= 74	 chi2= 0.511804	 time= 0.00813322	 cumTime= 0.602616	 edges= 5598	 schur= 0
iteration= 75	 chi2= 0.511804	 time= 0.00781468	 cumTime= 0.610431	 edges= 5598	 schur= 0
iteration= 76	 chi2= 0.511804	 time= 0.00778914	 cumTime= 0.61822	 edges= 5598	 schur= 0
iteration= 77	 chi2= 0.511804	 time= 0.00777927	 cumTime= 0.625999	 edges= 5598	 schur= 0
iteration= 78	 chi2= 0.511804	 time= 0.00776585	 cumTime= 0.633765	 edges= 5598	 schur= 0
iteration= 79	 chi2= 0.511804	 time= 0.00784914	 cumTime= 0.641614	 edges= 5598	 schur= 0
iteration= 80	 chi2= 0.511804	 time= 0.00778951	 cumTime= 0.649404	 edges= 5598	 schur= 0
iteration= 81	 chi2= 0.511804	 time= 0.00793316	 cumTime= 0.657337	 edges= 5598	 schur= 0
iteration= 82	 chi2= 0.511804	 time= 0.00777281	 cumTime= 0.66511	 edges= 5598	 schur= 0
iteration= 83	 chi2= 0.511804	 time= 0.0084438	 cumTime= 0.673554	 edges= 5598	 schur= 0
iteration= 84	 chi2= 0.511804	 time= 0.00824927	 cumTime= 0.681803	 edges= 5598	 schur= 0
iteration= 85	 chi2= 0.511804	 time= 0.00795827	 cumTime= 0.689761	 edges= 5598	 schur= 0
iteration= 86	 chi2= 0.511804	 time= 0.00790003	 cumTime= 0.697661	 edges= 5598	 schur= 0
iteration= 87	 chi2= 0.511804	 time= 0.00801699	 cumTime= 0.705678	 edges= 5598	 schur= 0
iteration= 88	 chi2= 0.511804	 time= 0.00790757	 cumTime= 0.713586	 edges= 5598	 schur= 0
iteration= 89	 chi2= 0.511804	 time= 0.00802011	 cumTime= 0.721606	 edges= 5598	 schur= 0
iteration= 90	 chi2= 0.511804	 time= 0.00811933	 cumTime= 0.729725	 edges= 5598	 schur= 0
iteration= 91	 chi2= 0.511804	 time= 0.00802139	 cumTime= 0.737746	 edges= 5598	 schur= 0
iteration= 92	 chi2= 0.511804	 time= 0.00807114	 cumTime= 0.745818	 edges= 5598	 schur= 0
iteration= 93	 chi2= 0.511804	 time= 0.00799702	 cumTime= 0.753815	 edges= 5598	 schur= 0
iteration= 94	 chi2= 0.511804	 time= 0.0079442	 cumTime= 0.761759	 edges= 5598	 schur= 0
iteration= 95	 chi2= 0.511804	 time= 0.00791784	 cumTime= 0.769677	 edges= 5598	 schur= 0
iteration= 96	 chi2= 0.511804	 time= 0.007728	 cumTime= 0.777405	 edges= 5598	 schur= 0
iteration= 97	 chi2= 0.511804	 time= 0.00776969	 cumTime= 0.785174	 edges= 5598	 schur= 0
iteration= 98	 chi2= 0.511804	 time= 0.00777484	 cumTime= 0.792949	 edges= 5598	 schur= 0
iteration= 99	 chi2= 0.511804	 time= 0.00769597	 cumTime= 0.800645	 edges= 5598	 schur= 0
