loaded manhattan3500_1.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 1.727199	 time= 0.013472	 cumTime= 0.013472	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 1	 chi2= 0.096699	 time= 0.00885615	 cumTime= 0.0223281	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 2	 chi2= 0.000685	 time= 0.00883594	 cumTime= 0.0311641	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 3	 chi2= 0.000018	 time= 0.00895652	 cumTime= 0.0401206	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 4	 chi2= 0.000014	 time= 0.00880787	 cumTime= 0.0489285	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 5	 chi2= 0.000012	 time= 0.00897586	 cumTime= 0.0579043	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 6	 chi2= 0.000010	 time= 0.00939105	 cumTime= 0.0672954	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 7	 chi2= 0.000010	 time= 0.00915041	 cumTime= 0.0764458	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 8	 chi2= 0.000009	 time= 0.00885396	 cumTime= 0.0852997	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 9	 chi2= 0.000009	 time= 0.00882626	 cumTime= 0.094126	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 10	 chi2= 0.000008	 time= 0.00875951	 cumTime= 0.102886	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 11	 chi2= 0.000008	 time= 0.00926321	 cumTime= 0.112149	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 12	 chi2= 0.000007	 time= 0.00922179	 cumTime= 0.121371	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 13	 chi2= 0.000006	 time= 0.00910294	 cumTime= 0.130473	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
