loaded manhattan3500_1.5.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 0	 chi2= 7.697551	 time= 0.0136834	 cumTime= 0.0136834	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 1	 chi2= 1.370866	 time= 0.00890635	 cumTime= 0.0225898	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 2	 chi2= 0.216002	 time= 0.00891431	 cumTime= 0.0315041	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 3	 chi2= 0.116865	 time= 0.00906155	 cumTime= 0.0405656	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 4	 chi2= 0.110015	 time= 0.0120922	 cumTime= 0.0526578	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 5	 chi2= 0.108234	 time= 0.00899915	 cumTime= 0.061657	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 6	 chi2= 0.107786	 time= 0.0087776	 cumTime= 0.0704346	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 7	 chi2= 0.107523	 time= 0.00898713	 cumTime= 0.0794217	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 8	 chi2= 0.107329	 time= 0.00926179	 cumTime= 0.0886835	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 9	 chi2= 0.107192	 time= 0.00896875	 cumTime= 0.0976523	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 10	 chi2= 0.107076	 time= 0.00901915	 cumTime= 0.106671	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 11	 chi2= 0.106973	 time= 0.0089531	 cumTime= 0.115625	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 12	 chi2= 0.106851	 time= 0.0163598	 cumTime= 0.131984	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 13	 chi2= 0.106808	 time= 0.00909194	 cumTime= 0.141076	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 14	 chi2= 0.106638	 time= 0.0158938	 cumTime= 0.15697	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 15	 chi2= 0.106514	 time= 0.0157552	 cumTime= 0.172725	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 16	 chi2= 0.106426	 time= 0.0162629	 cumTime= 0.188988	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 17	 chi2= 0.106387	 time= 0.00877285	 cumTime= 0.197761	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 18	 chi2= 0.106261	 time= 0.0159876	 cumTime= 0.213749	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 19	 chi2= 0.106173	 time= 0.0157906	 cumTime= 0.229539	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 20	 chi2= 0.106147	 time= 0.00882976	 cumTime= 0.238369	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 21	 chi2= 0.106020	 time= 0.0164486	 cumTime= 0.254818	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 22	 chi2= 0.105948	 time= 0.0165448	 cumTime= 0.271362	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 23	 chi2= 0.105909	 time= 0.00901936	 cumTime= 0.280382	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 24	 chi2= 0.105831	 time= 0.0161809	 cumTime= 0.296563	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 25	 chi2= 0.105797	 time= 0.00921463	 cumTime= 0.305777	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 26	 chi2= 0.105794	 time= 0.00884424	 cumTime= 0.314622	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 27	 chi2= 0.105665	 time= 0.0164884	 cumTime= 0.33111	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 2
iteration= 28	 chi2= 0.105643	 time= 0.00936902	 cumTime= 0.340479	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 29	 chi2= 0.105623	 time= 0.00919119	 cumTime= 0.34967	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 30	 chi2= 0.105598	 time= 0.00925459	 cumTime= 0.358925	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 31	 chi2= 0.105575	 time= 0.00889048	 cumTime= 0.367815	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 32	 chi2= 0.105567	 time= 0.0089509	 cumTime= 0.376766	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 33	 chi2= 0.105567	 time= 0.00897481	 cumTime= 0.385741	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 34	 chi2= 0.105540	 time= 0.00893592	 cumTime= 0.394677	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 35	 chi2= 0.105460	 time= 0.00869999	 cumTime= 0.403377	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
iteration= 36	 chi2= 0.105365	 time= 0.00871086	 cumTime= 0.412088	 edges= 5598	 schur= 0	 lambda= 0.000000	 levenbergIter= 1
